Modelo,Accuracy,Precision,Recall,F1-score
SVM,0.7333333333333333,0.8333333333333334,0.8333333333333334,0.8333333333333334
Regresión Logística,0.7333333333333333,0.9,0.75,0.8181818181818182
KNN,0.6666666666666666,0.8181818181818182,0.75,0.782608695652174
XGBoost,0.6666666666666666,0.8888888888888888,0.6666666666666666,0.7619047619047619
Random Forest,0.5333333333333333,0.7777777777777778,0.5833333333333334,0.6666666666666666
Árbol de Decisión,0.4666666666666667,0.75,0.5,0.6
